var,rhiz,aph,sw,rw
me,1,0,2,1.7
me,1,0,1,1.9
me,1,0,1.2,1.5
me,1,0,1.4,0.9
me,1,0,1.5,2
me,1,0,2,1.3
w,1,0,1.4,1.7
w,1,0,1.3,1.4
w,1,0,1.3,1.4
w,1,0,1.2,1.4
w,1,0,1.3,1.2
w,1,0,1,1.4
l,1,0,1.2,1.3
l,1,0,1,0.8
l,1,0,0.6,1.2
l,1,0,1,1
l,1,0,0.8,1
l,1,0,1.1,1.2
mi,1,0,1.6,1.8
mi,1,0,1.2,1.3
mi,1,0,0.8,1.8
mi,1,0,1,0.6
mi,1,0,1.3,1.5
mi,1,0,0.8,1
d,1,0,1.9,0.8
d,1,0,0.9,0.9
d,1,0,1.7,1.6
d,1,0,1.5,1.1
d,1,0,1.9,1.3
d,1,0,1.7,1.5
k,1,0,0.6,2.3
k,1,0,1.8,1.7
k,1,0,1.7,1.9
k,1,0,1.5,0.4
k,1,0,1.7,0.4
k,1,0,0.6,1.7
me,0,0,0.8,1.8
me,0,0,0.8,2
me,0,0,1.2,2
me,0,0,1.6,2.2
me,0,0,1,2.5
me,0,0,0.6,1.7
w,0,0,0.9,2.2
w,0,0,0.8,2.6
w,0,0,0.3,2.1
w,0,0,0.8,1.2
w,0,0,0.8,1.9
w,0,0,0.8,1.7
l,0,0,1.4,1.7
l,0,0,0.8,1.5
l,0,0,1.5,1.6
l,0,0,0.8,2.6
l,0,0,2.4,1.1
l,0,0,1.1,2.1
mi,0,0,0.8,1.4
mi,0,0,1.4,1.3
mi,0,0,0.5,1.6
mi,0,0,1.1,2.3
mi,0,0,0.6,2.4
mi,0,0,0.4,2.1
d,0,0,0.6,1.4
d,0,0,1.2,1.8
d,0,0,0.8,1
d,0,0,1.1,1.2
d,0,0,0.6,1.2
d,0,0,1,1.3
k,0,0,0.8,1.7
k,0,0,0.6,0.8
k,0,0,0.8,2
k,0,0,0.4,0.9
k,0,0,0.8,2.3
k,0,0,0.8,2.1
me,1,1,1.4,2.1
me,1,1,1.7,1.7
me,1,1,1.7,2.6
me,1,1,1.8,2.4
me,1,1,1.8,1.7
me,1,1,1.5,1.5
w,1,1,1.2,2.2
w,1,1,0.7,1.5
w,1,1,1.6,2.5
w,1,1,0.7,2.2
w,1,1,0.6,2.5
w,1,1,1.1,1.7
l,1,1,1,1.9
l,1,1,1.3,2.4
l,1,1,1.1,1.9
l,1,1,0.9,1.8
l,1,1,1.4,1.6
l,1,1,1.1,1.8
mi,1,1,1,1.6
mi,1,1,1.8,2.5
mi,1,1,1.7,3.3
mi,1,1,1.5,3.1
mi,1,1,1.4,2.9
mi,1,1,1.5,2.3
d,1,1,1.8,2.4
d,1,1,1.9,2.7
d,1,1,1.8,2.9
d,1,1,2.6,2.6
d,1,1,2,1.9
d,1,1,2.1,2.5
k,1,1,1.1,2.7
k,1,1,1.1,3.1
k,1,1,1.9,3.5
k,1,1,1.2,3.9
k,1,1,1.7,2.7
k,1,1,1.9,3.5
me,0,1,1.2,2.6
me,0,1,1,2
me,0,1,1.4,2
me,0,1,0.9,2.3
me,0,1,0.9,2
me,0,1,1.2,2.3
w,0,1,0.7,2.5
w,0,1,0.7,1.9
w,0,1,0.7,2.1
w,0,1,0.5,1.9
w,0,1,0.6,2
w,0,1,0.5,1.7
l,0,1,0.8,2.2
l,0,1,1,2
l,0,1,1.2,2.9
l,0,1,1.1,2.6
l,0,1,1,2.5
l,0,1,0.9,2.8
mi,0,1,0.8,1.6
mi,0,1,1.1,2.6
mi,0,1,0.9,3
mi,0,1,1.1,2.8
mi,0,1,1.1,3.3
mi,0,1,0.7,2.9
d,0,1,1.3,2.9
d,0,1,1.2,3.1
d,0,1,0.6,1.9
d,0,1,1,1.7
d,0,1,1.5,2.5
d,0,1,1.2,2.3
k,0,1,0.6,2.1
k,0,1,0.8,1.6
k,0,1,0.7,1.5
k,0,1,0.8,2.4
k,0,1,0.7,2.4
k,0,1,1,1.6
me,1,2,1.7,3.7
me,1,2,1.2,3.7
me,1,2,1.4,2.8
me,1,2,1.3,2.4
me,1,2,1.4,2.6
me,1,2,2,3.4
w,1,2,1,2.6
w,1,2,0.8,2.3
w,1,2,0.8,3.5
w,1,2,1,2.9
w,1,2,1.2,2.4
w,1,2,1.9,3.4
l,1,2,1.3,1.9
l,1,2,1,1.6
l,1,2,1,2.2
l,1,2,0.8,1.6
l,1,2,1.1,2
l,1,2,1,2.4
mi,1,2,1.3,2.4
mi,1,2,1,2.2
mi,1,2,1.2,3.2
mi,1,2,0.8,1.2
mi,1,2,1.9,3.8
mi,1,2,1.1,2.1
d,1,2,1.6,2.1
d,1,2,1.8,2.6
d,1,2,1.2,2.2
d,1,2,1.9,3.3
d,1,2,1.6,3.1
d,1,2,2,3.9
k,1,2,1,3.1
k,1,2,1.6,4.7
k,1,2,1.7,4.2
k,1,2,1.3,4
k,1,2,1.2,3.2
k,1,2,1.6,4
me,0,2,0.6,1.6
me,0,2,1.3,3.7
me,0,2,1,3
me,0,2,1.3,2.8
me,0,2,1,3.1
me,0,2,0.9,2.9
w,0,2,0.7,2.6
w,0,2,0.8,3.5
w,0,2,0.6,2.4
w,0,2,0.8,2.8
w,0,2,1.1,3.3
w,0,2,0.9,3.4
l,0,2,0.7,2.6
l,0,2,0.6,1.8
l,0,2,1.1,3.3
l,0,2,0.8,2.6
l,0,2,0.7,2.9
l,0,2,0.9,2.4
mi,0,2,0.8,3.2
mi,0,2,1,3.8
mi,0,2,0.8,3.6
mi,0,2,1.1,3.6
mi,0,2,0.7,3.1
mi,0,2,0.7,3.8
d,0,2,1.3,4.4
d,0,2,1.5,4.6
d,0,2,1.2,3.3
d,0,2,1,2.4
d,0,2,1.2,3.3
d,0,2,1.2,3.6
k,0,2,0.9,2.4
k,0,2,0.8,2.7
k,0,2,0.8,3.5
k,0,2,1,2.7
k,0,2,0.9,3.5
k,0,2,0.9,2.6
